Código,Nombre Común,Nombre científico,Nitrógeno (kg/ton),Fósforo (kg/ton),Potasio (kg/ton),Calcio (kg/ton),Magnesio (kg/ton),Azufre (kg/ton),Periodo vegetativo (meses),Rendimiento (kg/ha),Indice de Cocecha,,
1,ACELGA,Beta vulgaris var. cicla,4,0.9,5.2,1.5,0.5,0.5,4.5,25,0.645,,
2,AGUAYMANTO,Physalis peruviana,3.5,1,5.7,6,1,0.7,9,10,0.645,,
3,AJI,Capsicum annuum,7.8,5,10,4.7,5.7,5,7,12,0.645,,
4,AJO,Allium sativum,3,1.2,3.6,1,0.3,0.6,6.5,10,0.645,,
5,ALCACHOFA,Cynara scolymus,8,3.2,15.5,2.1,0.6,1.2,11,12,0.645,,
6,ALFALFA,Medicago sativa,2.7,0.7,2.3,3,1.5,0.4,12,70,0.645,,
7,ALFALFA +RYE GRASS,Medicago sativa,2.7,0.7,2.3,3,1.5,0.4,12,60,0.645,,
8,ALGODON,Gossypium spp,130,45,100,8,22,20,6.5,2.5,0.645,,
9,APIO,Apium graveolens var. dulce,1.9,1.1,4.6,2.2,0.2,0.2,5.5,35,0.645,,
10,ARROZ,Oriza sativa,18,8,18,2.7,2,2,5.5,6,0.645,,
11,ARVEJA,Pisum sativum,55,14,37.5,11,6,5,4.5,4,0.645,,
12,AVENA + VICIA,Avena fatua + Vicia sativa,2.59,0.7,2.36,3.2,0.5,0.4,5.5,25,0.645,,
13,BETARRAGA,Beta vulgaris,4.6,1,4,5,0.5,1,4.5,50,0.645,,
14,BROCOLI,Brassica oleracea var. italica,3,1,2.5,0.9,0.4,0.5,4.5,12,0.645,,
15,CACAO,Theobroma cacao,20,10,19,2,2,3,12,1,0.645,,
16,CAFE,Coffea arabica,50,10,50,5,5,6,12,1.5,0.645,,
17,CAIGUA,Sechium edule,4,1.2,7.2,5,1.1,1,7,20,0.645,,
18,CALABAZA,Cucurbita pepo,4,1.5,4.5,9.7,1.3,1.3,4.5,20,0.645,,
19,CAMOTE,Ipomoea batata,4.2,1.6,7.5,1.5,0.4,0.8,5.5,20,0.645,,
20,CAMU CAMU,Myrciaria dubia,3.8,1.6,6.2,2.5,0.8,0.6,12,7.5,0.645,,
21,CAÑA DE AZUCAR,Sacharum officinarum,1.9,0.9,2.98,0.5,0.25,0.22,13,100,0.645,,
22,CAÑIHUA,Chenopodium pallidicaule,2.8,0.8,2.6,1.8,0.6,0.4,5.5,2,0.645,,
23,CASTAÑA,Bertholletia excelsa,12,5.5,15,4,2.5,2,12,0.75,0.645,,
24,CEBADA,Hordeum vulgare,27,11,26,3.8,4,4,5.5,4,0.645,,
25,CEBOLLA,Allium cepa,3.7,1.2,3.2,1,0.3,0.6,5.5,30,0.645,,
26,CEBOLLA CHINA,Allium fistulosum,4.2,1.8,5.5,2.2,0.7,0.8,3.5,20,0.645,,
27,CENTENO,Secale cereale,30,12,30,4.5,3,3,6.5,4,0.645,,
28,CHÍA,Salvia hispanica,18,8,12,3.5,2.8,2.2,5.5,1.2,0.645,,
29,CHIRIMOYA,Annona cherimola,4.5,2,6.5,2.8,1.2,0.9,12,10,0.645,,
30,CIRUELO,Prunus domestica,3.5,2,4,1,1,1.2,12,12,0.645,,
31,CITRICOS,Citrus spp,2.2,1.2,3.5,1.8,0.8,0.6,12,20,0.645,,
32,COCO,Cocos nucifera,6,3.5,12,2.5,1.8,1.5,12,10,0.645,,
33,COCOTERO,Cocus nucifera,40,12,36,13,18,13,12,10,0.645,,
